time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
16135.7799022784,34000.0,0.1626574333547935,3209470.2859144513,7412.398738011007,0.0,-4063.173273855036,0.72,1.4446882210953472e-19,62690.34927876496,5.730632550246685,0.690016170566082,7444.340473409215,214.5187800652524
16135.7799022784,34000.0,-17.883493658117402,3209470.2859144513,7412.398738011007,0.0,-2081.754443265817,0.72,-0.00019218082737081327,62690.34927876496,5.730632550246685,0.32155071055232215,3093.5710912170507,214.5187800652524
16213.910082516582,32602.759417202917,-17.883493658117388,3226101.96228142,7414.833069570307,0.0,-2086.202585482365,0.7049848773191956,-0.00019218082737081327,62669.83301842794,6.763116141277208,0.3010897592960104,3039.8089536442762,211.35290812525812
16321.713784649945,30674.85259377933,-17.883493658117416,3248638.950062298,7435.409138640959,0.0,-2090.175261862302,0.684267072649569,-0.0001921808273708135,62641.46622744958,8.121242925456556,0.2774303203792496,2978.493232047939,206.8806790554273
16355.833287786505,30064.676675818537,-17.883493658117434,3255670.615644294,7443.944585314316,0.0,-2090.066263122141,0.6777099583073037,-0.00019218082737081397,62632.478926616954,8.534571303521242,0.27076327903114655,2959.996629117685,205.44035420521385
16355.833287786505,30064.676675818537,-17.883493658117434,3255670.615644294,7443.944585314316,0.0,-2090.066263122141,0.6777099583073037,-0.00019218082737081397,62632.478926616954,8.534571303521242,0.27076327903114655,2959.996629117685,205.44035420521385
16515.397322969377,27211.11426456206,-17.88349365811741,3287893.2608830403,7480.6933073851715,0.0,-2103.6227795051827,0.6470448100072341,-0.00019218082737081373,62590.30526568274,10.819698261993654,0.23807499961918185,2862.625549265957,198.54796476942104
16735.563124041535,23273.780557353733,-17.88349365811741,3330505.8791638957,7516.384032299393,0.0,-2105.5046058965904,0.6047331641984284,-0.00019218082737081397,62531.8786785481,14.05220528040267,0.19667993276106174,2689.7776623104673,188.62062791374956
16805.24484731809,22027.62790105081,-17.883493658117416,3343531.0536618372,7516.279134780714,0.0,-2096.64825152856,0.5913416729665163,-0.00019218082737081408,62513.406672770085,15.142050959414368,0.18433536674911763,2617.195289631594,185.3797590457909
16805.24484731809,22027.62790105081,-17.883493658117416,3343531.0536618372,7516.279134780714,0.0,-2096.64825152856,0.5913416729665163,-0.00019218082737081408,62513.406672770085,15.142050959414368,0.18433536674911763,2617.195289631594,185.3797590457909
16994.950697775854,18635.024527481582,-17.883493658117427,3377829.142266435,7510.521084141333,0.0,-2058.8558584034313,0.5548838456684589,-0.00019218082737081421,62463.69063577909,18.154875011558662,0.15407990054653958,2395.7596160121416,176.320345659419
17256.706051895864,13953.924312098105,-17.88349365811742,3422264.2320572296,7492.374842693978,0.0,-1963.4402863973087,0.5045794851449348,-0.00019218082737081432,62397.22382475418,22.504143462268612,0.11873552004439307,2027.30309556844,163.2633028938937
17339.550726514375,12472.372098949196,-17.88349365811743,3435605.7841279884,7470.098379564742,0.0,-1909.6044879595509,0.4886583270334839,-0.00019218082737081446,62376.93673288016,23.98288077865798,0.10824424995716662,1878.7694442917289,158.998851738275
17339.550726514375,12472.372098949196,-17.88349365811743,3435605.7841279884,7470.098379564742,0.0,-1909.6044879595509,0.4886583270334839,-0.00019218082737081446,62376.93673288016,23.98288077865798,0.10824424995716662,1878.7694442917289,158.998851738275
17499.114761697245,9618.809687692725,-17.883493658117427,3460294.6932558767,7403.988843407156,0.0,-1773.7884366298954,0.4579931787334144,-0.00019218082737081438,62339.99812134364,26.66207355705469,0.08847097878700233,1544.186230788426,150.6098186194414
17719.280562769403,5681.475980484389,-17.883493658117413,3492123.817969605,7246.580903649357,0.0,-1672.8213734535975,0.4156815329246083,-0.00019218082737081408,62292.42460264573,30.57739591385751,0.046033597556351,950.2337700685135,138.66141565826337
17788.962286045957,4435.323324181463,-17.883493658117413,3501643.7667135135,7187.639345915071,0.0,-1657.0862382940545,0.4022900416926962,-0.00019218082737081386,62277.79361557675,31.724279776058598,0.0337743909052938,733.7984145942437,134.79094549067395
17788.962286045957,4435.323324181463,-17.883493658117413,3501643.7667135135,7187.639345915071,0.0,-1657.0862382940545,0.4022900416926962,-0.00019218082737081386,62277.79361557675,31.724279776058598,0.0337743909052938,733.7984145942437,134.79094549067395
17867.09246628414,3038.0827413843745,-17.883493658117427,3511995.105980974,7122.245001219252,0.0,-1657.6364963819149,0.38727491901189176,-0.00019218082737081421,62261.48816425102,33.06681939716204,0.020761102097558617,478.7782350250581,130.40117072492166
17974.8961684175,1110.1759179607957,-17.883493658117416,3525710.003473655,7046.228385283059,0.0,-1678.4232091113324,0.36655711434226523,-0.00019218082737081397,62238.857538754964,34.7436952626511,0.0046237227157373125,115.4893695470886,124.257649356042
18009.01567155406,500.0,-17.88349365811741,3529911.9999999995,7028.568560216257,0.0,-1691.6271990552216,0.36,-0.00019218082737081373,62231.6183146516,35.25616112705735,-1.7919182948668207e-10,-4.591070279441693e-06,122.29253366343002
