time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
1002.4778888539377,0.01351919698476596,0.27770977332091284,270.0,-222.1128836394658,26912.032264217913,1860.339461918248,0.04797207630272778,,161498.29914261057,0.04406537000484432,-1.8686893672049383,,,0.6982661085658796,147015.0,,3.773357230585803,0.9559999999999998,13626.067929330286,417.0235358387505
1069.6666666666665,0.013514580709367974,0.27776415391920795,270.0,-227.87097234799666,28333.333333333332,1705.5262722522991,0.04694265006129959,,166666.66666666666,0.039374953122120575,-1.7952303389479647,,,0.7206892316875959,147015.0,,3.445634360094975,0.956,12934.6655433569,427.83451840562606
1069.6666666666665,0.013514580709367974,0.27776415391920795,270.0,-227.87097234799666,28333.333333333332,1705.5262722522991,0.04694265006129959,,166666.66666666666,0.039374953122120575,-1.7952303389479647,,,0.7206892316875959,147015.0,,3.445634360094975,0.956,12934.6655433569,427.83451840562606
1223.5221111460623,0.013494465426039345,0.2778574417108405,270.0,-241.90898216600291,31587.967735782087,1363.5178980432302,0.044079569725850545,,178501.70085738943,0.02964905765792711,-1.6418504190666956,,,0.7759105147133879,147015.0,,2.7243391783831283,0.956,11495.031738491998,454.1912987711748
1435.8112221872711,0.014708307114107694,0.32278010964755977,250.53755052512025,-227.80464422465369,36078.69893088459,935.9395571047688,0.04954619782995838,,194831.63247594397,0.02013678720145583,-1.3827318143405423,,,0.8000000000000003,147015.0,,2.4925409461733246,0.9559999999999998,9657.968694371766,458.9994908453771
1503.0,0.015414371230426773,0.3454670193596465,242.17728902175116,-219.7498862354127,37500.0,816.4897773566382,0.05302859988370574,,200000.0,0.01757242140539054,-1.3092311277777775,,,0.7999999999999999,147015.0,,2.5451405491784915,0.956,9141.916876,458.84576110823923
1503.0,,,,,,,,1503.0,200000.0,,,,,,171481.0,,,,,
7400.140808638866,,,,,,,,7400.140808638866,4767007.666342927,,,,,,165437.4392373896,,,,,
18998.06443471077,,,,,,,,18998.06443471077,13748954.652641155,,,,,,153981.0,,,,,
31140.16501801406,,,,,,,,31140.16501801406,23152336.435253248,,,,,,142524.5607626104,,,,,
37761.636989687686,,,,,,,,37761.636989687686,28280298.313458443,,,,,,136481.0,,,,,
37761.636989687686,0.014725384782415737,0.3192878164741138,242.17728902175116,,37500.0,,0.04901013676770553,,28280298.313458443,-0.04243101227627629,,,,0.8,136000.0,,-1.1230439337499507,0.0,494.8667,458.8457611082393
